c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,label
gad,about,gadabout,1,11.6,0.13692797,0.669906871,0
knock,about,knockabout,1,9.21,-0.172326923,-0.378298429,0
race,about,raceabout,1,12.8,1.8746488,2.165117632,0
roust,about,roustabout,1,12.5,0.709126951,0.623558277,0
lay,about,layabout,1,9.16,-0.33994601,-0.379975906,0
roust,abouts,roustabouts,1,12.5,0.709126951,0.623558277,0
wise,acre,wiseacre,1,12.8,1.8746488,2.165117632,0
wise,acres,wiseacres,1,12.8,1.8746488,2.165117632,0
hold,all,holdall,1,11.6,0.13692797,0.669906871,0
may,apple,mayapple,1,9.16,-0.33994601,-0.379975906,0
pine,apple,pineapple,1,12.8,1.8746488,2.165117632,0
pine,apples,pineapples,1,12.8,1.8746488,2.165117632,0
yard,arm,yardarm,1,11.6,0.13692797,0.669906871,0
fire,arm,firearm,1,12.8,1.8746488,2.165117632,0
yard,arms,yardarms,1,11.6,0.13692797,0.669906871,0
pot,ash,potash,1,12.5,0.709126951,0.623558277,0
jack,ass,jackass,1,9.21,-0.172326923,-0.378298429,0
jack,asses,jackasses,1,9.21,-0.172326923,-0.378298429,0
brad,awl,bradawl,1,11.6,0.13692797,0.669906871,0
brad,awls,bradawls,1,11.6,0.13692797,0.669906871,0
pole,axe,poleaxe,1,12.8,1.8746488,2.165117632,0
pole,axes,poleaxes,1,12.8,1.8746488,2.165117632,0
razor,back,razorback,1,9.63,-0.346074991,-0.378024861,0
die,back,dieback,1,10.2,-0.311252275,-0.34153833,0
crook,back,crookback,1,6.78,-0.376818783,-0.400374046,0
canvas,back,canvasback,1,8.59,-0.356676664,-0.378338393,0
feed,back,feedback,1,7.33,-0.364368351,-0.395126906,0
full,back,fullback,1,8.6,-0.36915888,-0.394313761,0
half,back,halfback,1,4.32,-0.377952406,-0.401414726,0
grey,back,greyback,1,8.22,-0.240416714,-0.333869389,0
green,back,greenback,1,8.42,-0.370885802,-0.395060031,0
fat,back,fatback,1,8.43,-0.368585006,-0.373494219,0
touch,back,touchback,1,8.2,-0.368110014,-0.390390487,0
corner,back,cornerback,1,9.63,-0.346074991,-0.378024861,0
draw,back,drawback,1,6.89,-0.373488544,-0.392107012,0
diamond,back,diamondback,1,7.33,-0.364368351,-0.395126906,0
piggy,back,piggyback,1,8.22,-0.240416714,-0.333869389,0
hog,back,hogback,1,5.36,-0.377779361,-0.401226698,0
wing,back,wingback,1,5.36,-0.377779361,-0.401226698,0
moss,back,mossback,1,8.59,-0.356676664,-0.378338393,0
line,backer,linebacker,1,10.2,-0.311252275,-0.34153833,0
half,backs,halfbacks,1,4.32,-0.377952406,-0.401414726,0
piggy,backs,piggybacks,1,8.22,-0.240416714,-0.333869389,0
tie,backs,tiebacks,1,10.2,-0.311252275,-0.34153833,0
tail,backs,tailbacks,1,8.6,-0.36915888,-0.394313761,0
hog,backs,hogbacks,1,5.36,-0.377779361,-0.401226698,0
quarter,backs,quarterbacks,1,9.63,-0.346074991,-0.378024861,0
full,backs,fullbacks,1,8.6,-0.36915888,-0.394313761,0
green,backs,greenbacks,1,8.42,-0.370885802,-0.395060031,0
diamond,backs,diamondbacks,1,7.33,-0.364368351,-0.395126906,0
razor,backs,razorbacks,1,9.63,-0.346074991,-0.378024861,0
moss,backs,mossbacks,1,8.59,-0.356676664,-0.378338393,0
hatch,backs,hatchbacks,1,8.2,-0.368110014,-0.390390487,0
chaw,bacon,chawbacon,1,6.89,-0.373488544,-0.392107012,0
gas,bag,gasbag,1,8.59,-0.356676664,-0.378338393,0
