c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,sim_c1stim,sim_c2stim,sim_c1c2stim,label
gad,about,gadabout,1,11.6,0.13692797,0.669906871,0.3304107189178467,0.0123501131311059,0.2429959923028946,0
knock,about,knockabout,1,9.21,-0.17232692300000002,-0.378298429,0.058455877006053925,0.003790335962548852,0.04803520813584328,0
roust,about,roustabout,1,12.5,0.7091269509999999,0.623558277,0.1320699006319046,0.010301914997398853,0.11998997628688812,0
lay,about,layabout,1,9.16,-0.33994601,-0.37997590600000003,0.08507294207811356,0.021155893802642822,0.0784827470779419,0
roust,abouts,roustabouts,1,12.5,0.7091269509999999,0.623558277,0.22227932512760162,0.09615063667297363,0.2201392650604248,0
wise,acre,wiseacre,1,12.8,1.8746488000000001,2.165117632,0.20678240060806274,-0.023897718638181686,0.10044530779123306,0
wise,acres,wiseacres,1,12.8,1.8746488000000001,2.165117632,0.23840206861495972,-0.02503824047744274,0.1110604777932167,0
hold,all,holdall,1,11.6,0.13692797,0.669906871,0.008769242092967033,0.012899079360067844,0.01350355800241232,0
may,apple,mayapple,1,9.16,-0.33994601,-0.37997590600000003,0.1343514323234558,0.32216423749923706,0.3369123935699463,0
pine,apple,pineapple,1,12.8,1.8746488000000001,2.165117632,0.3226207196712494,0.4754604697227478,0.48363518714904785,0
pine,apples,pineapples,1,12.8,1.8746488000000001,2.165117632,0.3579861521720886,0.4748646020889282,0.5105645060539246,0
yard,arm,yardarm,1,11.6,0.13692797,0.669906871,0.11592240631580353,0.157916858792305,0.18828631937503815,0
fire,arm,firearm,1,12.8,1.8746488000000001,2.165117632,0.2076134830713272,0.14141641557216644,0.24204154312610626,0
pot,ash,potash,1,12.5,0.7091269509999999,0.623558277,0.07988552749156952,0.09009777009487152,0.10940397530794144,0
jack,ass,jackass,1,9.21,-0.17232692300000002,-0.378298429,0.24211455881595612,0.5459369421005249,0.5017319917678833,0
jack,asses,jackasses,1,9.21,-0.17232692300000002,-0.378298429,0.16397568583488464,0.46317946910858154,0.41491612792015076,0
razor,back,razorback,1,9.63,-0.346074991,-0.378024861,0.11123698204755783,0.07980065047740936,0.12996315956115723,0
die,back,dieback,1,10.2,-0.311252275,-0.34153833,0.15654796361923218,0.034354936331510544,0.144723579287529,0
canvas,back,canvasback,1,8.59,-0.356676664,-0.378338393,0.1113651916384697,-0.01744014210999012,0.08074528723955154,0
feed,back,feedback,1,7.33,-0.36436835100000003,-0.395126906,0.1635928601026535,0.11413607001304626,0.18657436966896057,0
full,back,fullback,1,8.6,-0.36915888,-0.39431376100000004,0.08621123433113098,0.2002384066581726,0.17295342683792114,0
half,back,halfback,1,4.32,-0.377952406,-0.401414726,0.16061824560165405,0.14176754653453827,0.19225092232227325,0
green,back,greenback,1,8.42,-0.37088580200000004,-0.39506003100000003,0.06084011495113373,0.0950452908873558,0.09799429774284363,0
fat,back,fatback,1,8.43,-0.368585006,-0.37349421899999996,0.3416849374771118,0.12779738008975983,0.3414574861526489,0
touch,back,touchback,1,8.2,-0.368110014,-0.390390487,0.15966796875,0.18654191493988037,0.21985363960266113,0
corner,back,cornerback,1,9.63,-0.346074991,-0.378024861,0.18012183904647827,0.13338814675807953,0.19697074592113495,0
draw,back,drawback,1,6.89,-0.373488544,-0.39210701200000003,0.13114343583583832,0.030979178845882416,0.11592588573694229,0
diamond,back,diamondback,1,7.33,-0.36436835100000003,-0.395126906,0.12952129542827606,0.06915891915559769,0.14013783633708954,0
piggy,back,piggyback,1,8.22,-0.24041671399999998,-0.33386938899999996,0.6004846692085266,0.13045908510684967,0.5070818662643433,0
hog,back,hogback,1,5.36,-0.37777936100000004,-0.401226698,0.14331863820552826,0.16257010400295258,0.19325268268585205,0
wing,back,wingback,1,5.36,-0.37777936100000004,-0.401226698,0.3274553120136261,0.19385357201099396,0.35541367530822754,0
moss,back,mossback,1,8.59,-0.356676664,-0.378338393,0.20519153773784637,0.08691581338644028,0.2120922952890396,0
line,backer,linebacker,1,10.2,-0.311252275,-0.34153833,0.14698393642902374,0.2176223248243332,0.2492321878671646,0
half,backs,halfbacks,1,4.32,-0.377952406,-0.401414726,0.17520271241664886,0.4430655539035797,0.4194737672805786,0
piggy,backs,piggybacks,1,8.22,-0.24041671399999998,-0.33386938899999996,0.36888474225997925,0.14359433948993683,0.3331907391548157,0
tie,backs,tiebacks,1,10.2,-0.311252275,-0.34153833,0.1640704721212387,0.15932080149650574,0.21458789706230164,0
tail,backs,tailbacks,1,8.6,-0.36915888,-0.39431376100000004,0.09392683953046799,0.4372496008872986,0.3398003876209259,0
quarter,backs,quarterbacks,1,9.63,-0.346074991,-0.378024861,0.10322625935077667,0.3388928771018982,0.29422712326049805,0
full,backs,fullbacks,1,8.6,-0.36915888,-0.39431376100000004,0.052615828812122345,0.4806988835334778,0.37212204933166504,0
