c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,label
turn,about,turnabout,1,12,0.209589336,-0.018790766,1
walk,about,walkabout,1,9.21,-0.172326923,-0.378298429,1
run,about,runabout,1,12,0.209589336,-0.018790766,1
round,about,roundabout,1,11.6,0.13692797,0.669906871,1
walk,abouts,walkabouts,1,9.21,-0.172326923,-0.378298429,1
run,abouts,runabouts,1,12,0.209589336,-0.018790766,1
turn,abouts,turnabouts,1,12,0.209589336,-0.018790766,1
round,abouts,roundabouts,1,11.6,0.13692797,0.669906871,1
where,abouts,whereabouts,1,12.8,1.8746488,2.165117632,1
head,ache,headache,1,11.6,0.13692797,0.669906871,1
belly,ache,bellyache,1,9.16,-0.33994601,-0.379975906,1
heart,ache,heartache,1,12.5,0.709126951,0.623558277,1
ear,ache,earache,1,12.8,0.440467071,0.479826003,1
back,ache,backache,1,9.21,-0.172326923,-0.378298429,1
stomach,ache,stomachache,1,13.1,3.625109648,2.840263764,1
tooth,ache,toothache,1,13.1,3.625109648,2.840263764,1
head,aches,headaches,1,11.6,0.13692797,0.669906871,1
heart,aches,heartaches,1,12.5,0.709126951,0.623558277,1
belly,aches,bellyaches,1,9.16,-0.33994601,-0.379975906,1
ear,aches,earaches,1,12.8,0.440467071,0.479826003,1
stomach,aches,stomachaches,1,13.1,3.625109648,2.840263764,1
tooth,aches,toothaches,1,13.1,3.625109648,2.840263764,1
back,aches,backaches,1,9.21,-0.172326923,-0.378298429,1
play,acting,playacting,1,9.16,-0.33994601,-0.379975906,1
play,actor,playactor,1,9.16,-0.33994601,-0.379975906,1
here,after,hereafter,1,12.8,1.8746488,2.165117632,1
mid,afternoon,midafternoon,1,11.6,0.13692797,0.669906871,1
here,afters,hereafters,1,12.8,1.8746488,2.165117632,1
news,agent,newsagent,1,12.1,0.253184389,0.229030287,1
news,agents,newsagents,1,12.1,0.253184389,0.229030287,1
mid,air,midair,1,11.6,0.13692797,0.669906871,1
catch,all,catchall,1,13.1,3.625109648,2.840263764,1
carry,all,carryall,1,9.16,-0.33994601,-0.379975906,1
cover,all,coverall,1,12.8,0.440467071,0.479826003,1
sing,along,singalong,1,11.4,-0.095595462,-0.063517192,1
tag,along,tagalong,1,11.4,-0.095595462,-0.063517192,1
bake,apple,bakeapple,1,12.8,1.8746488,2.165117632,1
crab,apple,crabapple,1,11.4,0.184022776,0.238148828,1
fire,arms,firearms,1,12.8,1.8746488,2.165117632,1
turn,around,turnaround,1,12,0.209589336,-0.018790766,1
