c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,sim_c1stim,sim_c2stim,sim_c1c2stim,label
turn,about,turnabout,1,12.0,0.20958933600000001,-0.018790766,0.23398852348327637,0.09111998230218887,0.22396564483642578,1
walk,about,walkabout,1,9.21,-0.17232692300000002,-0.378298429,0.2143392264842987,0.016593892127275467,0.17293986678123474,1
run,about,runabout,1,12.0,0.20958933600000001,-0.018790766,0.08329517394304276,0.02656424418091774,0.07505268603563309,1
round,about,roundabout,1,11.6,0.13692797,0.669906871,0.16600555181503296,0.04762931168079376,0.1519249826669693,1
walk,abouts,walkabouts,1,9.21,-0.17232692300000002,-0.378298429,0.1864127516746521,0.26685789227485657,0.302832692861557,1
run,abouts,runabouts,1,12.0,0.20958933600000001,-0.018790766,0.09805559366941452,0.1119968518614769,0.14574375748634338,1
turn,abouts,turnabouts,1,12.0,0.20958933600000001,-0.018790766,0.11718214303255081,0.06579533964395523,0.11510400474071503,1
round,abouts,roundabouts,1,11.6,0.13692797,0.669906871,0.11631280183792114,0.31426727771759033,0.2891077399253845,1
where,abouts,whereabouts,1,12.8,1.8746488000000001,2.165117632,0.13230301439762115,0.3842501640319824,0.37015223503112793,1
head,ache,headache,1,11.6,0.13692797,0.669906871,0.1599844992160797,0.3791133165359497,0.37807172536849976,1
belly,ache,bellyache,1,9.16,-0.33994601,-0.37997590600000003,0.22268232703208923,0.3713482916355133,0.37380415201187134,1
heart,ache,heartache,1,12.5,0.7091269509999999,0.623558277,0.2056584507226944,0.4589734673500061,0.4258464574813843,1
ear,ache,earache,1,12.8,0.440467071,0.47982600299999995,0.3760354220867157,0.4517313241958618,0.5233067870140076,1
back,ache,backache,1,9.21,-0.17232692300000002,-0.378298429,0.16454188525676727,0.5190914869308472,0.4938989281654358,1
stomach,ache,stomachache,1,13.1,3.625109648,2.840263764,0.4444160759449005,0.38785630464553833,0.4967818856239319,1
tooth,ache,toothache,1,13.1,3.625109648,2.840263764,0.35180869698524475,0.4184706509113312,0.49702584743499756,1
head,aches,headaches,1,11.6,0.13692797,0.669906871,0.11955243349075317,0.4773053526878357,0.4477640688419342,1
heart,aches,heartaches,1,12.5,0.7091269509999999,0.623558277,0.15085218846797943,0.4179607629776001,0.3738197684288025,1
belly,aches,bellyaches,1,9.16,-0.33994601,-0.37997590600000003,0.19157573580741882,0.3617200255393982,0.37733855843544006,1
ear,aches,earaches,1,12.8,0.440467071,0.47982600299999995,0.31389132142066956,0.4677450656890869,0.5148330330848694,1
